source_id,name,category,geography,url,access_type,auth_required,verified_status,last_verified,priority,status_for_mvp,eda_owner,required_fields,eda_questions,notes
contra_costa_parcels,Contra Costa Assessor Parcels,parcels,Contra Costa County,https://gis.cccounty.us/Downloads/Assessor/Parcels_Public_May2026.zip,zip_download,no,verified_live,2026-07-03,P0,use_if_san_ramon,,APN|address_or_location|geometry|parcel_area,"How many parcels are in San Ramon? Do geometries join cleanly to city boundaries? Are APNs stable enough as graph IDs?","Verified HTTP 200; about 40 MB zip."
contra_costa_zoning,Contra Costa Planning GIS Downloads,zoning,Contra Costa County,https://gis.cccounty.us/Downloads/Planning/,zip_download,no,needs_dataset_selection,2026-07-03,P0,use_if_san_ramon,,zoning_code|geometry|jurisdiction|effective_date,"Does zoning cover incorporated San Ramon, or only unincorporated areas? Which layers are relevant: zoning, general plan, land use?","Need city-vs-county jurisdiction check."
san_francisco_permits,San Francisco Building Permits,permits,San Francisco,https://data.sfgov.org/resource/i98e-djp9.json,socrata_api,no,verified_live,2026-07-03,P0,use_if_sf_demo,,permit_number|status|filed_date|issued_date|approved_date|estimated_cost|revised_cost|units|address|location,"How many residential permits are near candidate properties? Are permit records geocoded enough? Which permit types correlate with value/risk?","Verified live JSON records."
county_sales_records,County Recorder or Assessor Sale Transactions,comparable_sales,target_metro,TBD,mixed,TBD,unverified_blocker,2026-07-03,P0,critical_dependency,,sale_price|sale_date|APN_or_address|beds|baths|sqft|lot_size|property_type,"Can we get 50-200 permitted comparable sales? Do records include enough property characteristics? Can we backtest without MLS?","This is the main unresolved source. Public context is enough; credible valuation needs comps."
census_acs_5yr,Census ACS 5-year API,demographics,United States,https://www.census.gov/data/developers/data-sets/acs-5year.html,api,api_key_recommended,docs_verified,2026-07-03,P0,use_for_all_metros,,tract_id|median_income|commute_time|tenure|vacancy|housing_costs,"Which tract variables best explain value? Are tract-level values too coarse? How much lag matters?","Use as slow-moving context, not point-in-time price signal."
census_tiger,TIGER/Line Geography,boundaries,United States,https://www.census.gov/programs-surveys/geography/technical-documentation/complete-technical-documentation/tiger-geo-line.html,shapefile_download,no,docs_verified,2026-07-03,P0,use_for_all_metros,,tract_geometry|block_group_geometry|place_geometry|county_geometry,"Can parcel points be assigned to tracts/block groups cleanly? What boundary level is best for each feature?","Needed for spatial joins."
census_cb_us_counties_500k,Census Cartographic County Boundaries,boundaries,"United States; used here for California and Contra Costa County",https://www2.census.gov/geo/tiger/GENZ2025/shp/cb_2025_us_county_500k.zip,shapefile_download,no,verified_live,2026-07-05,P1,use_for_location_snapshot,,STATEFP|COUNTYFP|GEOID|NAME|STATE_NAME|geometry,"Can we show Contra Costa County inside California and the Bay Area clearly? Does the generalized boundary work for a readable location snapshot?","Downloaded and used by reports/figures/contra_costa_location_snapshot.svg."
bay_area_511_gtfs,511 Bay Area Transit Data,transit,Bay Area,https://511.org/open-data/transit,api_and_gtfs,yes,docs_verified,2026-07-03,P0,use_for_bay_area,,stop_id|route_id|stop_lat|stop_lon|calendar|stop_times|agency,"Can we compute commute time to user-selected work locations? How close is nearest useful stop? Which routes matter?","Requires 511 API token. Static GTFS is enough for MVP."
fema_nfhl,FEMA National Flood Hazard Layer,risk,United States,https://hazards.fema.gov/arcgis/rest/services/public/NFHL/MapServer?f=pjson,arcgis_rest,no,verified_live,2026-07-03,P0,use_for_all_metros,,flood_zone|geometry|firm_panel|effective_date,"Which parcels intersect flood zones? Can we convert this into cost/risk language without overclaiming insurance cost?","Verified live ArcGIS MapServer; layer includes Flood Hazard Zones."
calfire_fhsz,CAL FIRE Fire Hazard Severity Zones,risk,California,https://osfm.fire.ca.gov/what-we-do/community-wildfire-preparedness-and-mitigation/fire-hazard-severity-zones,gis_download,no,docs_verified,2026-07-03,P1,use_for_california,,hazard_class|geometry|jurisdiction|effective_date,"Which properties are in moderate/high/very high zones? How should this affect risk explanation?","Important for hillside/suburban Bay Area properties."
osm_overpass,OpenStreetMap Overpass API,amenities,Global,https://wiki.openstreetmap.org/wiki/Overpass_API,api,no,docs_verified,2026-07-03,P1,use_for_all_metros,,amenity_type|name|geometry|tags,"Are POIs dense enough in target areas? Which amenities matter for value? How variable is tag quality?","Use with ODbL attribution; corroborate important claims."
geofabrik_california,Geofabrik California OSM Extract,amenities_roads,California,https://download.geofabrik.de/north-america/us/california.html,pbf_download,no,verified_live,2026-07-03,P1,use_for_batch_eda,,osm_id|tags|geometry,"Should we process full extract or use Overpass queries? What features should be materialized locally?","Verified current California PBF responds, but it is large."
cde_public_schools,California Public Schools and Districts,schools,California,https://www.cde.ca.gov/ds/si/ds/pubschls.asp,file_download,no,docs_verified,2026-07-03,P1,use_for_california,,school_code|name|district|grade_span|lat|lon|status,"Can we map properties to nearby schools and districts? Which public metrics should become school quality signals?","Avoid proprietary ratings unless licensed."
nces_ccd,NCES Common Core of Data,schools,United States,https://nces.ed.gov/ccd/files.asp,file_download,no,docs_verified,2026-07-03,P1,use_for_school_context,,school_id|name|district|lat|lon|enrollment|grade_span,"Does NCES provide enough location and school metadata? How does it compare to CDE freshness?","Useful national fallback."
urban_education_data,Urban Institute Education Data Portal,schools,United States,https://educationdata.urban.org/documentation/,api,no,docs_verified,2026-07-03,P2,use_for_enrichment,,school_id|district_id|test_scores|demographics|year,"Which public school-performance variables are usable and explainable?","Use only transparent public metrics."
